iter	RMSE
0	1198968.927
1	1169640.716
2	1141761.279
3	1116475.8364	1097488.372
5	1076205.866
6	1053788.623
7	1028318.984
8	1003283.617
9	985176.9769
10	965794.1071
11	948910.1217
12	931140.6925
13	913689.2754
14	896599.6239
15	880647.3712
16	866194.9588
17	851300.1686
18	837630.9234
19	823330.0444
20	811841.0899
21	797617.8899
22	786966.1369
23	773136.1729
24	761100.8718
25	748862.30226	749566.5256
27	739459.7162
28	729156.2556
29	720378.4611
30	711594.2132
331	676271.0317
32	668254.2439
33	660526.0068
34	650905.1599
35	642441.1353
36	634070.6021
37	626601.60038	645415.416
39	640124.766
40	634530.1438
41	628277.2628
42	620959.8791
43	613942.7432
44	607012.3697
45	600362.264
46	594660.1126
47	589728.7677
48	583694.7034
49	578465.6218
50	572309.0836
51	566483.376
52	560525.9516
53	556964.8786
54	552200.1866
55	548231.5402
56	543352.4159
57	539185.112
58	534344.8427
59	530820.2893
60	528263.9496
61	525095.4112
62	521142.2532
63	63	510198.4736
64	506456.7922
65	503119.7792
66	500085.0866
67	496653.8794
68	493600.1873
69	490754.5523
70	487672.2402
71	484816.301
72	482256.671
73	479715.5114
74	477309.3692
75	474440.0917
76	470999.3803
77	468251.6172
78	466319.1231
79	463364.4886
80	460891.5565
81	458973.6234
82	456683.6251
83	454472.0716
84	452975.0069
85	451179.8151
86	448503.0671
87	446827.0168
88	444763.6257
89	443180.2543
90	441195.8474
91	440221.2901
92	438657.8942
93	436618.7695
94	434953.4714
95	433399.7007
96	432129.7959
97	431429.7102
98	430028.199	438203.4205
100	437257.2232
101	435624.8174
102	434083.0654
103	432750.4362
104	431470.4091
105	430710.311
106	429751.8932
107	427974.4132
108	426035.897
109	425111.346
110	423284.2064
111	421841.506
112	419911.5184
113	418409.5099
114	417550.7552
115	416308.7268
116	414669.7446
117	413648.4416
118	413159.0578
119	411896.8818
120	411521.3118
121	410034.941
122	408658.1218
123	407514.9192
124	406642.9643
125	404647.4123
126	403538.828
127	401955.5288
128	401165.2181
129	400640.4477
130	399397.3378
131	398158.0176
132	396822.6454
133	395591.2608
134	394333.2896
135	393698.8219
136	392648.921
137	391638.6703
138	390532.7105
139	389581.7023
140	388937.0208
141	387661.2868
142	386980.5516
143	385960.5539
144	384935.9348
145	384352.7015
146	383372.6687
147	382118.0196
148	381182.1768
149	380302.5067
150	379458.5296
151	379115.7994
152	378539.3782
153	377883.3027
154	376986.8765
155	376425.9369
156	376179.0807
157	375457.5541
158	374707.8988
159	373606.5313
160	372645.8189
161	372037.1377
162	370611.0027
163	369330.9721
164	368167.9854
165	366810.8807
166	365868.6522
167	364765.1018
168	364539.4741
169	363352.617
170	363088.602
171	362411.4697
172	361013.4379
173	360062.5723
174	359350.0778
175	358490.4752
176	357541.5046
177	356337.4931
178	356148.8856
179	355629.8591
180	355364.6296
181	353985.9786
182	353348.719
183	352537.465
184	351830.2556
185	350787.509
186	350084.5189
187	349168.4513
188	348453.1791
189	348045.2815
190	347356.3747
191	346523.9846
192	346318.6931
193	345894.9047
194	345133.8342
195	344633.9807
196	343918.526
197	343753.1839
198	343191.4328
199	342979.8002
200	342467.9008
201	341948.5163
202	341392.1437
203	340665.6214
204	340492.4221
205	340038.2772
206	339422.3531
207	339225.2239
208	338336.3332
209	337930.6248
210	337154.6176
211	336415.7126
212	335765.7624
213	335112.7051
214	334618.0779
215	334023.5992
216	333396.5964
217	332991.497
218	332239.9516
219	331206.4547
220	330881.1793
221	330543.7013
222	329650.313
223	329438.2669
224	328666.3381
225	328542.3624
226	327826.068
227	327020.8913
228	326751.7799
229	325891.9426
230	325238.5871
231	324642.6796
232	324055.2007
233	323394.3956
234	322617.6632
235	321924.9407
236	321340.8965
237	320587.2436
238	319777.3519
239	319234.3577
240	318309.1321
241	317552.3956
242	317448.2431
243	317083.6256
244	316232.1466
245	315597.4088
246	314857.9365
247	314274.5376
248	314025.1518
249	313403.5663
250	313002.116
251	312592.7752
252	312479.5788
253	311929.091
254	311385.0059
255	310956.8383
256	310557.8094
257	309960.0562
258	309214.9957
259	308910.0544
260	308289.511
261	307645.0411
262	306890.174
263	306484.0399
264	305908.71
265	305444.387
266	305359.3618
267	304957.8878
268	304040.4619
269	302984.0624
270	302902.8725
271	302607.9804
272	301984.471
273	301662.7402
274	301566.5829
275	300920.418
276	300453.8594
277	300351.9389
278	300010.5243
279	299564.9492
280	298780.1764
281	298412.1199
282	297803.0326
283	297712.2845
284	297332.5628
285	297004.8334
286	296522.3621
287	296035.0135
288	295942.7247
289	295293.8803
290	294932.9687
291	294248.406
292	293640.6193
293	292913.8554
294	292441.914
295	291802.4833
296	291225.2262
297	291137.4395
298	290788.8386
299	290496.0082
300	289891.3145
301	289189.9913
302	289016.2417
303	288610.2061
304	288091.1549
305	287722.3108
306	287439.1687
307	286913.6165
308	286342.8371
309	285990.1888
310	285517.9227
311	285047.2478
312	284691.0282
313	284189.7322
314	283494.5127
315	283270.4028
316	282885.8685
317	282384.8487
318	282174.4934
319	281868.9154
320	281513.2235
321	281068.4812
322	280846.2065
323	280122.6682
324	279806.812
325	279674.0789
326	279097.9863
327	278291.3592
328	277982.2952
329	277813.1541
330	277731.8309
331	277547.7711
332	277176.2217
333	277000.3657
334	276404.8275
335	275996.9681
336	275555.9368
337	275233.1215
338	274959.3862
339	274470.8044
340	274230.8738
341	273773.4985
342	273202.1913
343	272708.5926
344	272179.3737
345	271771.2258
346	271519.4723
347	271014.0783348	266343.3064
349	265664.8414
350	265193.862
351	264565.4232
352	264193.9266
353	263896.8286
3354	268927.8552
355	268621.4389
356	268557.83093357	268151.864358	261828.04
359	261570.1093
360	260872.6314
361	260411.1112
362	260153.4309
363	259633.9069
364	259292.7921
365	258922.0075
366	258605.2007
367	258182.8459
368	257682.6588
369	257262.8683
370	256927.1446
371	256450.2219
372	256171.5524
373	255529.073
374	255126.5866
375	254939.2103
376	254554.9472
377	254108.8273
378	253597.6056
379	253454.8884
380	253251.4747
381	252900.3287
382	252394.2186
383	251635.5833
384	251359.1571
385	250998.3103
386	250588.5932
387	250263.4239
388	249810.8067
389	249563.505
390	249233.8453
391	248780.3257
392	248369.887
393	248097.4223
394	247866.886
395	247428.0768
396	247017.0228
397	246773.2244
398	246403.6426
399	246093.7175
400	245914.7254
401	245330.9252
402	244909.5936
403	244476.2552
404	244215.9292
405	243869.2932
406	243547.6533
407	243252.5989
408	242743.962
409	242491.2312
410	242198.5317
411	241943.0189
412	241617.6059
413	241309.9785
414	240987.3967
415	240608.9984
416	240398.3565
417	240005.9161
418	239619.8291
419	239438.2357
420	238993.2989
421	238553.178
422	238422	24783423	23423	247618.3663
424	247546.217
425	247329.8797
426	246981.5695
427	246515.8727
428	246201.3566
429	245784.633
430	245752.3682
431	245496.1585
432	245443.4201
433	245197.2816
434	245109.5931
435	245017.8302
436	244627.8744
437	244191.367
438	243842.4068
439	243577.292
440	243366.5573
441	243128.8703
442	243075.2954
443	242894.5242
444	242572.7114
445	242532.446	231331.4049
447	231203.819
448	230970.5311
449	230742.5378
450	230486.4235
451	230144.3295
452	230104.202
453	2453	240039.9067
454	239819.843
455	239605.8742
456	239484.184
457	239385.2523
458	239290.7733
459	238858.2791
460	238810.1082
461	238607.8708
462	238472.6208
463	238175.3457
464	237866.7107
465	237541.0778
466	237148.8878
467	236934.8646
468	236675.5035
469	236310.470	225819.188
471	22471	235992.3233
472	235725.1901
473	235450474	224765.0381
475	224502.5407
476	224272.4434
477	223948.2935
478	223656.5888
479	223455.8848
480	223270.1446
481	222970.3413
482	222818.0794
483	222584.9638
484	222356.9587
485	222008.2855
486	221680.2805
487	221601.673
488	221442.9884
489	221183.3284
490	220876.4226
491	220765.306
492	220730.6677
493	220322.7256
494	220031.2163
495	219779.5652
496	219605.7284
497	219446.3649
498	219134.5903
499	219024.8618
500	218730.1078
501	218436.6143
502	218345.4203
503	218008.0668
504	217793.0775
505	217697.9676
506	217645.935
507	217401.3792
508	217118.1892
509	216738.1945
510	216478.8315
511	216138.1098
512	215989.5949
513	215697.5104
514	215314.3052
515	2515	224206.516	2516	223784.8613
517	223584.0316
518	223329.9595
519	223183.7886
520	222707.4511
521	222442.8875
522	222041.7535
523	221821.0381
524	221605.9861
525	221503.7836
526	221318.0561
527	220963.8544
528	220638.3824
529	220374.2168
530	2200531	211531	21983532	211175.7687
533	210937.8143
534	210821.0177
535	210528.966
536	2103536	218650.0087
537	218350.2535
538	218295.5992
539	217996.5256
540	217832.4273
541	217718.5164
542	217498.9677
543	217268.6567
544	217028.6358
545	216717.665
546	216338.4258
547	216187.7851
548	215982.1622
549	215731.9241
550	215482.6939
551	215201.9286
552	215125.2124
553	214752.2275
554	214405.0025
555	214237.1061
556	214047.8013
557	213873.7899
558	213638.6522
559	213502.2626
560	213339.973
561	213039.3845
562	212684.6595
563	212465.0335
564	212175.4571
565	212073.8298
566	211797.1973
567	211648.419
568	211450.5687
569	211196.8837
570	210860.4086
571	210740.7825
572	210655.4218
573	210531.8863
574	210265.4695
575	210197.528
576	209884.8965
577	209617.9382
578	209167.5121
579	209026.482
580	208883.4698
581	208517.8902
582	208439.4976
583	208070.7592
584	207777.6225
585	207596.7898
586	207527.4275
587	207370.2607
588	207227.4374
589	207029.8971
590	206749.7354
591	206418.5542
592	206219.964
593	205822.066
594	205451.7539
595	205175.7732
596	204968.601
597	204815.5608
598	204590.4621
599	204366.4249
600	204181.4866
601	204017.0604
602	203766.6106
603	203543.8278
604	203386.489
605	203132.2028
606	202955.9849
607	202727.9305
608	202425.7563
609	202186.4382
610	202114.0572
611	201895.4393
612	201659.7842
613	201378.5612
614	201181.3054
615	201004.1134
616	200921.3358
617	200726.2471
618	200613.2319
619	200509.4324
620	200350.3153
621	200101.6893
622	199843.9375
623	199637.0198
624	199402.2993
625	199224.7474
626	198855.2918
627	198695.3645
628	198405.8093
629	198172.2908
630	197973.8516
631	197825.4879
632	197660.8681
633	197335.5754
634	197060.5464
635	196861.1909
636	196618.8341
637	1963638	1885638	1961639	188237.727
640	188131.3168
641	188022.8903
642	187868.5883
643	187657.5243
644	187635.5943
645	187402.8896
646	187313.8918
647	187028.9748
648	186950.8131
649	186684.7594
650	186427.556
651	186278.8026
652	186030.8429
653	185957.4285
654	185714.5289
655	185544.9439
656	185363.6001
657	185285.5743
658	184975.9508
659	184859.3361
660	184768.0152
661	184691.8132
662	184397.6624
663	184223.341
664	183944.341
665	183717.8514
666	183628.057
667	183319.9548
668	183031.0302
669	182809.5307
670	182548.5491
671	182483.4617
672	182322.3449
673	182199.5202
674	181989.1434
675	181821.8816
676	181687.431
677	181662.0068
678	181412.4208
679	181184.9325
680	180968.6084
681	180893.896
682	180749.1757
683	180610.1012
684	180356.2134
685	180095.8005
686	179979.2326
687	179811.9701
688	179585.3682
689	179293.6148
690	179020.6253
691	178804.5331
692	178692.6869
693	178509.6966
694	178204.8646
695	177983.6756
696	177798.6849
697	177520.9707
698	177288.8559
699	177226.3041
700	176959.5023
701	176662.1366
702	176561.3356
703	176365.6042
704	176163.7024
705	175856.1482
706	175686.8905
707	175530.6102
708	175380.7157
709	175134.9427
710	175043.4859
711	174856.2839
712	174654.5555
713	174373.4684
714	174214.2035
715	173980.3992
716	173838.5569
717	173646.2822
718	173386.8145
719	173130.184
720	172891.7251
721	172711.9716
722	172620.815
723	172415.6646
724	172240.8351
725	172070.7796
726	171847.3556
727	171594.3131
728	171452.2594
729	171311.5792
730	171182.265
731	171159.4388
732	170926.6596
733	170701.2295
734	170508.6578
735	170365.7689
736	170188.7733
737	170024.1368
738	169873.7114
739	169744.2046
740	169415.3644
741	169252.5997
742	169141.0995
743	169096.5246
744	168962.9318
745	168856.0818
746	168693.4781
747	168481.4812
748	168286.8373
749	168211.9677
750	167972.8938
751	167790.8318
752	167588.7578
753	167355.7207
754	167240.4605
755	167090.0531
756	166981.0128
757	166796.4196
758	166697.8506
759	166680.21
760	166458.9444
761	166231.3808
762	165859.9043
763	165756.829
764	165574.4826
765	165490.4606
766	165303.4982
767	165077.2037
768	164978.2089
769	164693.4152
770	164463.5694
771	164258.1789
772	164030.6781
773	163897.0345
774	163721.2635
775	163465.5946
776	163236.409
777	163166.1067
778	162982.519
779	162960.7255
780	162740.7418
781	162570.116
782	162436.5256
783	162278.3288
784	162172.8218
785	162151.0084
786	161947.1133
787	161750.4667
788	161559.2875
789	161373.8082
790	161199.1182
791	161096.6057
792	160965.1351
793	160738.3704
794	160581.9717
795	160504.9998
796	160457.1846
797	160250.4917
798	160136.4922
799	159964.676
800	159772.4624
801	159600.8495
802	159462.6303
803	159269.0658
804	159127.3782
805	159080.5459
806	1589806	1656807	1588807	165585.824
808	165476.9033
809	165283.5294
810	165187.8017
811	164891.3136
812	164862.1211
813	164776.9102
814	164630.0263
815	164610.5495
816	164565.2687
817	164488.0677
818	164170.2056
819	163993.1834
820	163913.9615
821	163794.1031
822	163641.0281
823	163512.873
824	163263.4063
825	163151.2397
826	162950.0967
827	162852.8713
828	162703.5757
829	162603.9315
830	162427.5553
831	162379.7212
832	162246.7301
833	162216.0189
834	162137.9173
835	161969.9469
836	161910.2082
837	161786.4957
838	161735.0919
839	161623.1319
840	161373.837
841	161148.842	154088.9953
843	153964.0113
844	153757.3671
845	153594.9522
846	153408.9443
847	153386.4887
848	153238.7962
849	153061.574
850	152922.1177
851	152758.2135
852	152737.2868
853	152691.4845
854	152561.4166
855	152471.7929
856	152392.0192
857	152202.5182
858	152124.7754
859	151984.8993
860	151792.5618
861	151697.7621
862	151602.7991
863	151530.6729
864	151349.9254
865	151276.0997
866	151221.3543
867	151123.7193
868	151010.9576
869	150831.1837
870	150504.5945
871	150376.6475
872	150364.6451
873	150059.8872
874	149917.9682
875	149799.4313
876	149627.3332
877	149543.3056
878	149488.6039
879	149332.2271
880	149177.2268
881	149094.3517
882	148886.2644
883	148642.3737
884	148527.3617
885	148390.6773
886	148340.269
887	148291.5022
888	148103.3901
889	148004.2234
890	147920.3671
891	147783.7398
892	147535.7639
893	147458.5711
894	147246.9514
895	147104.9213
896	146940.5061
897	146818.882
898	146778.085
899	146630.2683
900	146265.5502
901	146102.1457
902	145983.8011
903	145822.8659
904	145654.1049
905	145550.7572
906	145242.9834
907	145231.8168
908	145092.8043
909	144886.5378
910	144773.958
911	144618.8391
912	144551.3901
913	144439.946
914	144394.214
915	144233.4041
916	144102.5652
917	143979.1429
918	143941.5267
919	143882.1803
920	143789.5497
921	143668.4206
922	143575.8738
923	143408.3997
924	143086.423
925	142912.0034
926	142786.9849
927	142643.7474
928	142597.6288
929	142494.7367
930	142387.7976
931	142297.6949
932	142141.0621
933	142086.0662
934	141939.2331
935	141856.8301
936	141775.6951
937	141683.6923
938	141546.3102
939	141467.7902
940	141374.9844
941	141248.6881
942	141105.5619
943	141032.0023
944	140887.0902
945	140791.7623
946	140572.6373
947	140461.7278
948	140304.4702
949	140189.8886
950	140153.6398
951	139974.2757
952	139835.0892
953	139680.094
954	139548.0213
955	139421.8137
956	139304.1474
957	139229.1559
958	139149.5955
959	139032.2051
960	138825.9922
961	138671.0425
962	138540.4522
963	138438.7075
964	138295.1423
965	138210.4991
966	138139.2641
967	137899.1114
968	137756.2282
969	137614.6649
970	137487.614
971	137338.5059
972	137121.6892
973	136951.8105
974	136867.2214
975	136776.4757
976	136552.517
977	136421.661
978	136169.8183
979	136084.2189
980	135938.7851
981	135856.1836
982	135715.0173
983	135652.0968
984	135540.1898
985	135436.8015
986	135239.8277
987	135043.9859
988	134936.0818
989	134898.7697
990	134818.8422
991	134665.3911
992	134568.269
993	134424.7368
994	134296.2092
995	134252.6079
996	134204.2338
997	134088.5408
998	134001.1537
999	133911.8776
473
1.4608
